,cmplnt_num,cmplnt_fr_dt,crm_atpt_cptd_cd,juris_desc,law_cat_cd,loc_of_occur_desc,ofns_desc,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude
974,740419444,2021-12-25T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK,F,40.76140476000006,-73.99967656899997
975,371549639,2021-12-26T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,45-64,WHITE HISPANIC,M,40.83311090600006,-73.82942176399997
976,241623502,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,BURGLARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.75043076800005,-73.98928217599996
977,558470260,2021-12-30T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,OFFENSES AGAINST PUBLIC ADMINI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,E,40.80985488300007,-73.92465750699995
978,804027878,2021-12-14T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,GRAND LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,F,40.71578637700002,-73.75989879799994
979,792627737,2021-12-29T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK,F,40.64712528600006,-73.90454219999998
980,644457987,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,18-24,WHITE,F,40.71787216100006,-73.98617781499998
981,888430637,2021-12-25T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK,M,40.870567022000046,-73.86617698599997
982,628415564,2021-12-26T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,SEX CRIMES,UNKNOWN,UNKNOWN,UNKNOWN,<18,AMERICAN INDIAN/ALASKAN NATIVE,M,40.74525274100006,-73.87006286999997
983,636061076,2021-12-22T00:00:00.000,COMPLETED,N.Y. HOUSING POLICE,MISDEMEANOR,UNKNOWN,SEX CRIMES,UNKNOWN,UNKNOWN,UNKNOWN,<18,BLACK,F,40.78926022400003,-73.94771000099996
984,715837775,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,FELONY ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE,F,40.793873362000056,-73.94607034999996
985,153311513,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,18-24,WHITE,F,40.72015111800005,-73.997703442
986,144627873,2021-12-25T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,BURGLARY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE,M,40.71477560500005,-73.98272992299998
987,887510583,2021-07-09T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,UNAUTHORIZED USE OF A VEHICLE,UNKNOWN,UNKNOWN,UNKNOWN,65+,BLACK,M,40.886055507000044,-73.87875671899997
988,683387779,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,INTOXICATED & IMPAIRED DRIVING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,E,40.54945491500007,-74.17073497699994
989,636122408,2021-12-26T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,FELONY ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,25-44,BLACK HISPANIC,F,40.84869160200003,-73.88378032499998
990,469278427,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.72640641000004,-73.99710792599996
991,466838336,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE,M,40.75350226000006,-73.99066406199995
992,810645180,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,GRAND LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,F,40.59350896900003,-73.98700650899997
993,715422910,2021-12-30T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,BURGLARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.69200031400004,-73.94273784299997
994,916973680,2021-12-29T00:00:00.000,ATTEMPTED,N.Y. POLICE DEPT,FELONY,UNKNOWN,FELONY ASSAULT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,M,40.695329948000044,-73.84081647299998
995,450136183,2021-12-31T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,45-64,BLACK,F,40.726293088000034,-73.73476084899994
996,678425631,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,UNKNOWN,UNKNOWN,45-64,BLACK,F,40.690721610000026,-73.92028107199997
997,753478700,2021-12-17T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,18-24,WHITE,M,40.754417860000046,-73.91829908299998
998,680641540,2021-12-30T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,18-24,WHITE,F,40.74567140400006,-73.98962217999998
999,767785242,2021-12-26T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,65+,WHITE,F,40.79305412700006,-73.97395535899994
